date_et,computed_at,underlying,exp_window,level_type,level_price,session_high,session_low,session_close,tested,outcome,distance_pct,scored_at
2026-06-03,2026-06-03T11:54:08-04:00,SPY,le45dte,put_wall,753.4516033548418,758.8,753.57,754.19,true,held,0.0009800186791963951,2026-06-03T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,ES,0dte,call_wall,7565.07,7611.5,7541.75,7595,true,broke,0.003956341448261588,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,ES,0dte,expected_range,,7611.5,7541.75,7595,true,held,,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,ES,0dte,gamma_flip,7559.769341572811,7611.5,7541.75,7595,true,broke,0.0046602821905488735,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,ES,0dte,key_gamma,7545.07,7611.5,7541.75,7595,true,held,0.0066175661723483405,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,ES,0dte,put_wall,7495.07,7611.5,7541.75,7595,false,not_tested,0.006228093933745822,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T10:35:03-04:00,ES,intraday,onh,7557.75,7611.5,7541.75,7595,true,broke,0.0049287155568787005,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T10:35:03-04:00,ES,intraday,onl,7524.5,7611.5,7541.75,7595,true,held,0.009369393315170444,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T10:35:03-04:00,ES,intraday,pdh,7614.75,7611.5,7541.75,7595,true,held,-0.0025936504809744246,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T10:35:03-04:00,ES,intraday,pdl,7562.5,7611.5,7541.75,7595,true,broke,0.004297520661157025,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T10:35:03-04:00,ES,intraday,vah,7589.5,7611.5,7541.75,7595,true,held,0.0007246854206469464,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T10:35:03-04:00,ES,intraday,val,7569.5,7611.5,7541.75,7595,true,broke,0.003368782614439527,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T10:35:03-04:00,ES,intraday,vpoc,7577.5,7611.5,7541.75,7595,true,broke,0.0023094688221709007,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,ES,le45dte,call_wall,7595.07,7611.5,7541.75,7595,true,held,-0.000009216504916967054,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,ES,le45dte,expected_range,,7611.5,7541.75,7595,true,held,,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,ES,le45dte,gamma_flip,7542.258559569783,7611.5,7541.75,7595,true,held,0.006992791352041048,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,ES,le45dte,key_gamma,7595.07,7611.5,7541.75,7595,true,held,-0.000009216504916967054,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,ES,le45dte,put_wall,7495.07,7611.5,7541.75,7595,false,not_tested,0.006228093933745822,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPX,0dte,call_wall,7570,7598.19,7516.54,7584.82,true,broke,0.0019577278731835812,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPX,0dte,expected_range,,7598.19,7516.54,7584.82,true,held,,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPX,0dte,gamma_flip,7564.699341572811,7598.19,7516.54,7584.82,true,broke,0.0026598094013615082,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPX,0dte,key_gamma,7550,7598.19,7516.54,7584.82,true,broke,0.0046119205298012856,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPX,0dte,put_wall,7500,7598.19,7516.54,7584.82,true,held,0.011309333333333295,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T10:35:03-04:00,SPX,intraday,pdh,7605.35,7598.19,7516.54,7584.82,true,held,-0.0026994155430059962,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T10:35:03-04:00,SPX,intraday,pdl,7551.22,7598.19,7516.54,7584.82,true,broke,0.00444961211565806,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T10:35:03-04:00,SPX,intraday,vah,7577.5,7598.19,7516.54,7584.82,true,held,0.0009660178159023041,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T10:35:03-04:00,SPX,intraday,val,7557.5,7598.19,7516.54,7584.82,true,broke,0.0036149520344028723,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T10:35:03-04:00,SPX,intraday,vpoc,7567.5,7598.19,7516.54,7584.82,true,broke,0.0022887347208456832,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPX,le45dte,call_wall,7600,7598.19,7516.54,7584.82,true,held,-0.00199736842105267,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPX,le45dte,expected_range,,7598.19,7516.54,7584.82,true,held,,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPX,le45dte,gamma_flip,7547.188559569783,7598.19,7516.54,7584.82,true,broke,0.004986153470685473,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPX,le45dte,key_gamma,7600,7598.19,7516.54,7584.82,true,held,-0.00199736842105267,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPX,le45dte,put_wall,7500,7598.19,7516.54,7584.82,true,held,0.011309333333333295,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPY,0dte,call_wall,753.7349609726649,758.31,751.47,757.03,true,broke,0.004371614954788549,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPY,0dte,expected_range,,758.31,751.47,757.03,true,held,,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPY,0dte,gamma_flip,753.2071813725663,758.31,751.47,757.03,true,broke,0.005075387917129728,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPY,0dte,key_gamma,751.7435872316539,758.31,751.47,757.03,true,held,0.007032202014271413,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T09:00:01-04:00,SPY,0dte,put_wall,746.7651528791264,758.31,751.47,757.03,false,not_tested,0.006300303519432136,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T10:35:03-04:00,SPY,intraday,pdh,758.8,758.31,751.47,757.03,true,held,-0.0023326304691618106,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T10:35:03-04:00,SPY,intraday,pdl,753.57,758.31,751.47,757.03,true,broke,0.004591477898536198,2026-06-04T16:10:01-04:00
2026-06-04,2026-06-04T10:35:03-04:00,SPY,intraday,vah,755.75,758.31,751.47,757.03,true,broke,0.00169368177307307,2026-06-04T16:10:01-04:00
